File Path,Duration (s)
00400001/GX020041.MP4,768.77
00400001/GX010048_08.08.23.MP4,896.9
00400001/GX010041.MP4,832.83
00400001/GX020046.MP4,832.83
00400001/GX030041.MP4,339.61
00400001/GX030054.MP4,832.83
00400001/GX040046.MP4,477.74
00400001/GX020054.MP4,768.77
00400001/GX030048_08.09.23.MP4,215.82
00400001/GX020048_08.09.23.MP4,896.9
00400001/GX010049.MP4,16.83
00400001/GX020045.MP4,325.69
00400001/GX030048_08.08.23.MP4,832.83
00400001/GX010048.MP4,546.86
00400001/GX010050.MP4,0.68
00400001/GX040048_08.08.23.MP4,579.58
00400001/GX020042.MP4,205.87
00400001/By Date/07/31/23-08/06/23/GX020044.MP4,832.83
00400001/By Date/07/31/23-08/06/23/GX010045.MP4,768.77
00400001/By Date/07/31/23-08/06/23/GX030043.MP4,486.65
00400001/By Date/07/31/23-08/06/23/GX020043.MP4,768.77
00400001/By Date/07/31/23-08/06/23/GX010044.MP4,704.7
00400001/By Date/07/31/23-08/06/23/GX010043.MP4,832.83
00400001/By Date/07/31/23-08/06/23/GX030044.MP4,591.16
00400001/By Date/07/31/23-08/06/23/GX010042.MP4,832.83
00400001/By Date/07/31/23-08/06/23/GX020041.MP4,768.77
00400001/By Date/07/31/23-08/06/23/GX010041.MP4,832.83
00400001/By Date/07/31/23-08/06/23/GX030041.MP4,339.61
00400001/By Date/07/31/23-08/06/23/GX020045.MP4,325.69
00400001/By Date/07/31/23-08/06/23/GX020042.MP4,205.87
00400001/By Date/07/03/23-07/09/23/GX030029_7.6.23.MP4,373.71
00400001/By Date/07/03/23-07/09/23/GX020034.MP4,593.66
00400001/By Date/07/03/23-07/09/23/GX010034.MP4,768.77
00400001/By Date/07/03/23-07/09/23/GX020030.MP4,768.77
00400001/By Date/07/03/23-07/09/23/GX040027.MP4,768.77
00400001/By Date/07/03/23-07/09/23/GX030027.MP4,960.96
00400001/By Date/07/03/23-07/09/23/GX010029_7.6.23.MP4,960.96
00400001/By Date/07/03/23-07/09/23/GX010030.MP4,832.83
00400001/By Date/07/03/23-07/09/23/GX050027.MP4,417.45
00400001/By Date/07/03/23-07/09/23/GX020029.MP4,896.9
00400001/By Date/07/03/23-07/09/23/GX010029.MP4,896.9
00400001/By Date/07/03/23-07/09/23/GX030030.MP4,832.83
00400001/By Date/07/03/23-07/09/23/GX010027.MP4,832.83
00400001/By Date/07/03/23-07/09/23/GX040030.MP4,768.77
00400001/By Date/07/03/23-07/09/23/GX020029_7.6.23.MP4,768.77
00400001/By Date/07/03/23-07/09/23/GX020027.MP4,832.83
00400001/By Date/07/03/23-07/09/23/GX030029.MP4,896.9
00400001/By Date/07/17/23-07/23/23/GX030038.MP4,960.96
00400001/By Date/07/17/23-07/23/23/GX010038.MP4,1025.02
00400001/By Date/07/17/23-07/23/23/GX020039.MP4,768.77
00400001/By Date/07/17/23-07/23/23/GX030040.MP4,527.36
00400001/By Date/07/17/23-07/23/23/GX020038.MP4,832.83
00400001/By Date/07/17/23-07/23/23/GX030039.MP4,832.83
00400001/By Date/07/17/23-07/23/23/GX040038.MP4,485.5
00400001/By Date/07/17/23-07/23/23/GX010039.MP4,768.77
00400001/By Date/07/17/23-07/23/23/GX020040.MP4,832.83
00400001/By Date/07/17/23-07/23/23/GX040039.MP4,832.83
00400001/By Date/07/17/23-07/23/23/GX010040.MP4,768.77
00400001/By Date/07/10/23-07/16/23/GX010035.MP4,768.77
00400001/By Date/07/10/23-07/16/23/GX020035.MP4,768.77
00400001/By Date/07/10/23-07/16/23/GX040035.MP4,896.9
00400001/By Date/07/10/23-07/16/23/GX050035.MP4,16.38
00400001/By Date/06/12/2023-06/18/2023/GX010018.MP4,832.83
00400001/By Date/06/12/2023-06/18/2023/GX030018.MP4,896.9
00400001/By Date/06/12/2023-06/18/2023/GX020018.MP4,832.83
